% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
1.10148,1.21686,179,,157.0,205,,29,570,192,46842
1.20007,1.28064,199,,151.0,242,,23,615,191,48023
1.37876,1.23906,228,,153.0,266,,34,681,219,54961
1.1992,1.14473,188,,193.0,236,,36,653,213,57044
1.65618,1.26112,217,,162.0,280,,41,700,213,55506
1.41326,1.28275,178,,148.0,281,,48,655,195,51062
1.9868,1.44579,294,,240.0,328,,70,932,248,64463
2.44749,1.64796,288,,293.0,456,,63,1100,256,66749
1.73901,1.67517,268,,206.0,343,,69,886,252,52890
1.93919,1.61739,299,,282.0,415,,102,1098,253,67887
2.28166,1.76632,346,,268.0,388,,81,1083,242,61314
2.50761,2.10398,348,,235.0,362,,59,1004,190,47719
4.11352,3.13655,510,,404.0,492,,113,1519,251,48429
5.62372,3.7185,579,,584.0,576,,207,1946,250,52333
4.37398,3.59225,639,,759.0,810,,207,2415,254,67228
4.19434,3.68922,690,,654.0,1121,,148,2613,255,70828
5.42123,4.60396,856,,679.0,1440,,151,3126,245,67898
5.66137,4.91007,824,,817.0,1600,,196,3437,245,69999
5.97802,4.82687,881,,769.0,1471,,233,3354,239,69486
4.7358,3.9459,699,,671.0,1101,,146,2617,234,66322
3.44581,3.1081,457,,523.0,849,,119,1948,223,62675
2.47799,2.13953,313,,330.0,534,,112,1289,217,60247
1.65732,1.43954,241,,214.0,308,,64,827,211,57449
1.96952,1.47879,201,,183.0,305,,59,748,208,50582
1.58545,1.08556,162,,123.0,249,,51,585,200,53889
1.80474,0.997967,156,,93.0,196,,41,486,177,48699
1.04624,0.744205,90,,92.0,144,,32,358,182,48105
1.4004,0.856631,82,,93.0,152,,41,368,170,42959
0.79687,0.621737,64,,73.0,106,,19,262,156,42140
0.717097,0.670954,82,,68.0,100,,15,265,155,39496
1.00238,0.694082,58,,61.0,120,,27,266,148,38324
0.908403,0.583457,39,,64.0,93,,13,209,136,35821
0.443014,0.57764,79,,37.0,61,,9,186,131,32200
0.638986,0.605216,54,,40.0,52,,19,165,120,27263
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
1.57733,0.697291,115,,139.0,210,,26,490,304,70272
1.3088,0.784777,133,,174.0,262,,36,605,328,77092
1.41744,0.902906,217,,225.0,287,,54,783,350,86720
1.18272,1.13792,278,,226.0,530,,52,1086,377,95437
2.33432,1.01551,298,,262.0,414,,60,1034,388,101821
1.81577,1.0009,258,,292.0,402,,70,1022,400,102108
2.17975,1.13895,355,,281.0,478,,64,1178,372,103429
2.1124,1.44938,291,,322.0,512,,83,1208,403,83346
2.04854,1.13908,319,,310.0,453,,94,1176,392,103241
1.93248,1.16023,353,,303.0,461,,85,1202,399,103600
1.90468,1.17127,312,,320.0,426,,83,1141,396,97416
2.55983,1.49061,335,,296.0,359,,74,1064,384,71380
3.99108,1.84288,418,,466.0,377,,162,1423,382,77216
3.08581,1.8239,439,,659.0,548,,134,1780,396,97593
4.16383,2.54354,431,,962.0,874,,140,2407,396,94632
5.58049,3.61581,801,,1168.0,1689,,206,3864,399,106864
5.25328,4.07912,755,,1419.0,2185,,186,4545,397,111421
6.74667,5.0776,970,,1562.0,2919,,219,5670,397,111667
7.57188,5.04884,1029,,1591.0,2911,,237,5768,379,114244
6.87287,4.69331,822,,1599.0,2275,,224,4920,376,104830
6.35098,4.23423,800,,1520.0,1932,,234,4486,352,105946
5.41099,4.02363,769,,1357.0,1543,,241,3910,359,97176
4.55008,2.99348,539,,1041.0,1140,,202,2922,351,97612
3.85915,2.37759,458,,704.0,778,,130,2070,339,87063
2.99601,2.01715,378,,548.0,641,,129,1696,321,84079
1.97814,1.37688,243,,382.0,397,,69,1091,313,79237
1.16887,0.88283,127,,202.0,265,,38,632,277,71588
1.09302,0.613811,102,,102.0,175,,17,396,268,64515
0.633169,0.42177,59,,66.0,133,,13,271,258,64253
0.639561,0.615513,111,,118.0,150,,20,399,255,64824
1.55531,0.302287,35,,50.0,84,,11,180,237,59546
0.80802,0.522623,102,,88.0,86,,16,292,227,55872
1.33997,0.529526,100,,68.0,100,,15,283,222,53444
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.831219,0.977255,264,,228.0,273,,26,791,316,80941
1.40445,1.06706,292,,297.0,351,,57,997,361,93434
1.31721,0.942688,346,,293.0,371,,57,1067,386,113187
1.38161,1.01621,371,,289.0,367,,62,1089,355,107163
1.41607,1.19439,438,,434.0,607,,91,1570,449,131448
1.48438,1.24149,473,,461.0,535,,101,1570,456,126461
1.52614,1.28568,443,,544.0,622,,92,1701,459,132304
1.85336,1.69132,483,,714.0,504,,132,1833,455,108377
2.32907,1.73731,518,,994.0,835,,137,2484,469,142980
2.70254,2.33715,643,,1316.0,1124,,181,3264,480,139657
3.50454,2.93022,828,,1676.0,1405,,299,4208,475,143607
5.40799,4.41985,1130,,2189.0,1399,,450,5168,472,116927
7.04228,5.64698,1339,,3146.0,1697,,664,6846,471,121233
6.76846,5.15025,1314,,3250.0,2043,,665,7272,482,141197
5.52808,3.90316,1011,,2251.0,1746,,462,5470,467,140143
3.80508,2.91178,851,,1357.0,1334,,315,3857,450,132462
3.41177,2.1567,722,,962.0,1048,,169,2901,433,134511
2.4,1.81295,633,,786.0,914,,145,2478,441,136683
1.8912,1.6166,599,,646.0,862,,116,2223,437,137511
1.35503,1.26702,539,,447.0,610,,72,1668,413,131648
1.33212,1.14107,452,,328.0,481,,64,1325,382,116119
1.49127,1.23509,499,,360.0,477,,49,1385,370,112138
1.26826,1.01933,381,,256.0,394,,57,1088,363,106737
1.05854,0.926459,342,,206.0,342,,44,934,338,100814
0.92201,0.911006,305,,229.0,346,,37,917,326,100658
0.892334,0.823722,282,,206.0,320,,29,837,320,101612
0.929201,0.725443,186,,171.0,286,,23,666,295,91806
0.655592,0.579775,178,,127.0,196,,21,522,289,90035
0.607002,0.451177,107,,96.0,120,,24,347,280,76910
0.600003,0.438685,112,,80.0,141,,14,347,274,79100
0.547247,0.440517,93,,77.0,147,,7,324,257,73550
0.476417,0.351667,67,,77.0,85,,10,239,248,67962
0.445917,0.36646,79,,64.0,65,,11,219,233,59761
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
1.04113,1.22865,206,,322.0,443,,70,1041,337,84727
1.2871,1.05545,270,,389.0,489,,86,1234,451,116917
1.28299,1.15984,390,,458.0,617,,96,1561,487,134587
1.34081,1.22688,411,,564.0,683,,123,1781,507,145165
1.0555,1.24107,465,,564.0,703,,138,1870,526,150676
1.14136,1.4316,564,,635.0,849,,181,2229,545,155700
1.44111,1.49427,572,,736.0,979,,162,2449,571,163893
1.95735,1.84268,704,,646.0,913,,154,2417,569,131168
1.61928,1.59762,673,,900.0,1085,,196,2854,581,178641
1.7844,1.73473,710,,916.0,1232,,239,3097,595,178529
2.34423,2.04538,677,,1077.0,1455,,185,3394,600,165935
2.69528,2.41051,767,,1052.0,1337,,205,3361,585,139431
3.8618,3.38334,1059,,1496.0,1335,,262,4152,587,122719
3.505,3.2288,1049,,1855.0,1571,,321,4796,591,148538
3.43804,3.11951,1081,,1722.0,2423,,318,5544,611,177720
4.3928,3.80424,1395,,1806.0,3223,,293,6717,617,176566
4.21339,4.18681,1542,,1991.0,4057,,318,7908,626,188879
4.35364,3.9865,1329,,1958.0,3705,,295,7287,578,182792
3.69969,3.60607,1370,,1731.0,3017,,358,6476,566,179586
2.81921,2.81015,1059,,1393.0,2126,,254,4832,566,171948
2.55294,2.41561,834,,1278.0,1566,,245,3923,540,162402
1.90167,1.73272,683,,752.0,1008,,163,2606,511,150399
1.68033,1.64319,622,,854.0,934,,152,2562,510,155916
1.6254,1.35803,524,,522.0,762,,135,1943,472,143075
1.45957,1.39027,485,,507.0,751,,136,1879,460,135154
1.32376,1.2237,465,,419.0,575,,131,1590,442,129934
0.920073,1.11908,288,,421.0,421,,126,1256,371,112235
0.779257,0.938967,219,,305.0,344,,82,950,349,101175
0.991303,0.944308,234,,344.0,331,,88,997,342,105580
0.82693,0.742603,198,,253.0,274,,46,771,334,103824
0.588952,0.735456,173,,225.0,265,,71,734,322,99802
0.605586,0.725155,165,,196.0,250,,60,671,293,92532
0.49434,0.670346,94,,159.0,179,,38,470,262,70113
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
1.41046,0.997404,429,,372.0,485,,82,1368,607,137156
1.77019,1.09692,479,,526.0,628,,114,1747,646,159264
1.61904,1.1679,562,,560.0,697,,113,1932,690,165425
1.77065,1.26256,567,,643.0,876,,118,2204,710,174566
1.93891,1.30014,655,,665.0,883,,168,2371,746,182365
1.63439,1.21838,626,,687.0,865,,149,2327,758,190992
1.90363,1.33993,693,,811.0,862,,142,2508,770,187174
1.80556,1.47679,602,,698.0,643,,147,2090,764,141523
1.75506,1.41042,638,,877.0,866,,185,2566,728,181932
1.53023,1.26322,602,,676.0,848,,149,2275,762,180095
1.46161,1.26864,666,,570.0,780,,153,2169,756,170971
1.96048,1.53452,707,,684.0,725,,162,2278,696,148450
2.20435,2.12774,719,,718.0,656,,172,2265,691,106451
2.1348,1.94142,785,,808.0,752,,223,2568,728,132274
1.89441,1.67397,837,,869.0,969,,200,2875,742,171747
2.83109,2.06831,1067,,948.0,1533,,195,3743,749,180969
3.30481,2.87301,1460,,1156.0,2004,,177,4797,728,166968
3.61063,2.94909,1556,,1415.0,2351,,235,5557,729,188431
3.42799,2.92857,1542,,1478.0,2330,,274,5624,728,192039
3.76715,3.16382,1557,,1573.0,2436,,358,5924,712,187242
3.60018,3.12121,1509,,1544.0,2359,,348,5760,708,184544
3.20024,2.73515,1208,,1529.0,1997,,370,5104,707,186608
2.92633,2.15302,848,,1007.0,1558,,218,3631,674,168647
2.85857,1.92136,731,,832.0,1252,,162,2977,652,154942
2.34745,1.62731,567,,607.0,1092,,151,2417,617,148527
2.23498,1.46179,547,,488.0,913,,131,2079,582,142223
1.99355,1.1937,397,,449.0,692,,117,1655,575,138645
1.37168,0.895415,327,,292.0,467,,83,1169,551,130554
1.27033,0.817901,247,,262.0,442,,67,1018,523,124465
0.999331,0.705896,235,,155.0,389,,51,830,504,117581
1.172,0.611215,209,,147.0,269,,47,672,475,109945
1.03472,0.630622,169,,156.0,302,,46,673,458,106720
0.703599,0.573579,159,,142.0,236,,39,576,449,100422
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
1.22262,1.16668,582,,524.0,805,,149,2060,754,176569
1.33344,1.2165,683,,585.0,872,,127,2267,785,186355
1.31929,1.13057,642,,543.0,878,,113,2176,831,192469
1.49484,1.25246,728,,672.0,1045,,154,2599,863,207512
1.47195,1.30237,823,,741.0,1189,,154,2907,909,223208
1.58094,1.40551,887,,886.0,1272,,180,3225,930,229454
1.49426,1.38437,851,,898.0,1173,,175,3097,923,223712
1.40569,1.32563,802,,817.0,1166,,182,2967,922,223818
1.6141,1.43475,834,,711.0,978,,186,2709,918,188814
1.45967,1.25433,857,,869.0,1117,,206,3049,937,243078
1.59896,1.25757,804,,792.0,1179,,182,2957,928,235136
2.16697,1.58017,951,,849.0,1404,,212,3416,908,216179
2.57842,1.98008,915,,828.0,937,,177,2857,865,144287
2.38636,1.90428,1028,,962.0,1019,,251,3260,879,171193
1.73621,1.5901,1068,,1091.0,1296,,274,3729,926,234513
2.06296,1.81559,1154,,1011.0,1798,,241,4204,902,231550
2.58113,2.41801,1373,,1104.0,2998,,221,5696,927,235566
2.93909,2.86635,1411,,1322.0,4064,,282,7079,884,246969
3.22539,3.16662,1606,,1421.0,4447,,308,7782,889,245751
3.06982,3.0155,1568,,1566.0,4224,,291,7649,903,253656
3.20044,2.9978,1694,,1537.0,3689,,308,7228,871,241110
2.44888,2.31957,1336,,1400.0,2583,,287,5606,857,241683
2.1344,1.94707,1015,,1085.0,2103,,247,4450,839,228549
1.99866,1.72985,880,,987.0,1669,,274,3810,835,220250
1.93849,1.51837,737,,773.0,1321,,156,2987,795,196724
1.41293,1.22616,624,,640.0,1016,,159,2439,775,198913
1.23472,1.05433,506,,541.0,846,,135,2028,741,192349
1.20005,1.07108,569,,551.0,799,,163,2082,735,194383
0.910135,0.82612,440,,382.0,539,,106,1467,669,177577
0.932265,0.820505,429,,394.0,508,,114,1445,682,176111
0.692175,0.630846,275,,272.0,444,,84,1075,655,170406
0.669406,0.63935,215,,245.0,471,,74,1005,613,157191
0.727705,0.586609,248,,235.0,283,,70,836,547,142514
0.717701,0.773024,264,,169.0,262,,45,740,406,95728
0.789394,0.790743,213,,179.0,205,,44,641,393,81063
0.722129,0.711847,201,,133.0,195,,34,563,344,79090
0.591326,0.794637,198,,180.0,187,,55,620,341,78023
0.52307,0.586604,139,,127.0,123,,34,423,322,72110
0.450236,0.615982,122,,163.0,124,,32,441,322,71593
0.397421,0.491507,109,,94.0,91,,24,318,310,64699
0.448002,0.604341,137,,120.0,141,,43,441,308,72972
0.474767,0.524478,98,,116.0,98,,53,365,301,69593
0.453251,0.590692,112,,121.0,139,,48,420,302,71103
0.352158,0.505135,100,,102.0,120,,39,361,290,71466
0.525322,0.634271,136,,136.0,125,,46,443,295,69844
0.492991,0.610118,120,,133.0,131,,37,421,283,69003
0.542728,0.641227,159,,120.0,144,,27,450,277,70178
0.490347,0.661429,166,,112.0,155,,30,463,276,70000
0.735914,0.792681,177,,124.0,182,,36,519,271,65474
0.581771,0.639059,145,,122.0,184,,24,475,267,74328
0.654162,0.636732,136,,116.0,183,,26,461,264,72401
0.749504,0.747829,135,,143.0,221,,34,533,268,71273
0.884021,0.960873,808,,607.0,881,,146,2442,830,254144
1.02773,1.04325,913,,696.0,1132,,191,2932,931,281045
1.28296,1.0545,878,,811.0,1147,,195,3031,974,287436
1.32661,1.11231,1006,,884.0,1369,,216,3475,1007,312412
1.77304,1.41274,1207,,1127.0,2080,,276,4690,1074,331980
2.43814,1.72703,1542,,1249.0,2735,,264,5790,1111,335258
2.72605,2.407,2185,,1757.0,4133,,310,8385,1141,348359
3.73192,3.10962,2561,,2425.0,5684,,471,11141,1129,358275
4.54894,4.30779,3247,,2890.0,4933,,672,11742,1118,272576
5.39906,4.8303,4734,,5330.0,7817,,1067,18948,1189,392274
7.38735,6.42905,6620,,5573.0,11550,,1219,24962,1173,388269
7.48097,6.86734,6434,,5906.0,9851,,1508,23699,1148,345097
7.62797,7.06496,5336,,4517.0,5231,,1331,16415,1122,232344
5.14051,4.55115,3391,,3827.0,2894,,1220,11332,1139,248992
2.89129,2.41833,1930,,2605.0,2299,,768,7602,1160,314349
2.10429,1.80906,1679,,1586.0,1857,,461,5583,1141,308614
1.88696,1.71202,1721,,1276.0,1604,,360,4961,1084,289774
1.7766,1.5425,1487,,1067.0,1543,,339,4436,1071,287586
1.46001,1.43787,1454,,1047.0,1448,,302,4251,1054,295646
1.37787,1.32427,1420,,889.0,1297,,218,3824,986,288762
1.30532,1.30726,1301,,876.0,1255,,259,3691,1004,282347
1.08691,1.03698,956,,719.0,1038,,203,2916,948,281202
0.991888,1.01032,925,,682.0,910,,227,2744,894,271597
1.02765,1.05249,878,,764.0,888,,178,2708,897,257294
1.0579,1.02009,730,,756.0,826,,175,2487,849,243802
0.849361,0.924419,760,,628.0,733,,179,2300,859,248805
0.747127,0.790645,610,,495.0,611,,142,1858,828,234998
0.661708,0.80261,583,,440.0,566,,116,1705,774,212432
0.679514,0.83613,545,,500.0,573,,131,1749,755,209178
0.633071,0.792436,501,,461.0,511,,142,1615,679,203802
0.569894,0.683588,470,,349.0,404,,108,1331,658,194708
0.591357,0.757452,435,,383.0,491,,85,1394,629,184038
0.589044,0.788585,449,,361.0,443,,74,1327,599,168276
0.67864,0.812171,451,,337.0,380,,94,1262,553,155386
0.637558,0.804463,375,,280.0,349,,66,1070,463,133008
0.813309,0.877701,391,,289.0,308,,73,1061,452,120884
0.834551,0.741453,355,,257.0,309,,66,987,443,133117
0.616174,0.661022,307,,258.0,240,,46,851,426,128740
0.513286,0.715109,277,,245.0,284,,81,887,423,124037
0.351881,0.562241,238,,215.0,183,,62,698,408,124146
0.542621,0.786808,233,,210.0,205,,62,710,381,90238
0.581036,0.860658,249,,227.0,280,,80,836,378,97135
0.495486,0.689944,259,,162.0,200,,38,659,370,95515
0.61209,0.779691,260,,189.0,230,,40,719,363,92216
0.531491,0.628144,213,,225.0,235,,60,733,345,116693
0.519987,0.902459,243,,247.0,256,,63,809,334,89644
0.574476,0.806443,256,,200.0,256,,58,770,335,95481
0.663175,0.874888,259,,231.0,265,,44,799,333,91326
0.614691,0.993213,279,,252.0,358,,71,960,326,96656
0.656823,0.876141,281,,263.0,309,,60,913,337,104207
0.723016,0.948092,342,,299.0,413,,68,1122,341,118343
0.691857,0.926943,322,,268.0,416,,83,1089,336,117483
0.782758,0.971643,333,,319.0,382,,82,1116,364,114857
0.982275,0.897159,877,,853.0,1256,,185,3171,1176,353449
1.01821,1.02248,1071,,971.0,1373,,216,3631,1187,355116
1.1768,1.06296,1240,,1019.0,1534,,226,4019,1267,378094
1.30121,1.14696,1190,,1223.0,1671,,285,4369,1293,380921
1.27746,1.20495,1327,,1215.0,1718,,291,4551,1302,377692
1.40387,1.30517,1497,,1279.0,1874,,319,4969,1344,380718
1.40301,1.28699,1531,,1279.0,1874,,299,4983,1336,387182
1.73975,1.59468,1490,,1274.0,1678,,271,4713,1341,295546
1.56894,1.39714,1538,,1434.0,2059,,376,5407,1369,387004
1.65927,1.44996,1551,,1450.0,2052,,375,5428,1346,374356
1.81341,1.61745,1670,,1643.0,2071,,371,5755,1379,355806
2.37626,2.19112,1856,,1608.0,1807,,418,5689,1288,259639
2.77052,2.56649,2252,,2413.0,1993,,621,7279,1332,283617
2.40064,2.17645,2010,,2869.0,2450,,712,8041,1383,369455
2.54155,2.20171,2188,,2542.0,2982,,611,8323,1342,378024
2.85871,2.53012,2199,,2839.0,3682,,608,9328,1348,368678
3.55011,3.06524,2747,,3586.0,5364,,725,12422,1334,405254
4.58591,3.98061,3086,,4498.0,7650,,958,16192,1303,406772
5.05809,4.59568,3626,,5757.0,8854,,1132,19369,1324,421461
5.44151,4.75197,3834,,6515.0,8400,,1182,19931,1330,419426
4.4729,4.17962,3720,,5125.0,6759,,1026,16630,1280,397883
3.6752,3.45359,2997,,4058.0,5343,,836,13234,1268,383196
3.3353,3.15852,2728,,3634.0,4494,,745,11601,1227,367292
2.76224,2.6732,2416,,2969.0,3513,,604,9502,1185,355454
2.46844,2.35161,2145,,2434.0,2771,,550,7900,1148,335940
2.00081,1.89243,1827,,1979.0,2133,,390,6329,1103,334438
